pulse,radar,site_name,source_files,valid_hours,matched_hours,grid_distance_km,variable,count,observed_mean,modelled_mean,bias,mae,rmse
lp,bejab,Jabbeke,350,8081,6876,7.8,mtr_birds_km_h,6876,219.01779171866903,7.386520643117137,-211.6312710755519,211.96101536966594,472.0926168722464
lp,bejab,Jabbeke,350,8081,6876,7.8,vid_birds_per_km2,6876,7.656268307359012,0.7308632208619541,-6.925405086497058,6.972570110341275,10.268897964382905
lp,bejab,Jabbeke,350,8081,6876,7.8,bird_u_ms,6876,1.692733184389172,1.9374006038651468,0.24466741947597462,2.856594488753563,3.8217269333799364
lp,bejab,Jabbeke,350,8081,6876,7.8,bird_v_ms,6876,0.905114061297845,0.7986403565834218,-0.10647370471442312,2.278823013057481,2.9325210578723655
lp,frabb,Abbeville,356,2126,1509,14.0,mtr_birds_km_h,1509,5.302467890562364,5.2074423150253155,-0.09502557553704867,8.966384912118116,22.726907845888242
lp,frabb,Abbeville,356,2126,1509,14.0,vid_birds_per_km2,1509,0.13228582047627138,0.26866632123182954,0.13638050075555816,0.32925717230514784,0.5841924696362634
lp,frabb,Abbeville,356,2126,1509,14.0,bird_u_ms,1509,0.6191864782023403,2.7233326837098235,2.104146205507483,3.6751640239120595,4.469079829024273
lp,frabb,Abbeville,356,2126,1509,14.0,bird_v_ms,1509,0.7098448634094177,1.371748983584554,0.6619041201751363,2.9360620230188967,3.582585460192989
lp,frave,Avesnes,338,1824,1187,14.2,mtr_birds_km_h,1187,7.175645238073024,10.466794570043506,3.2911493319704825,15.804424040372504,44.69480404052524
lp,frave,Avesnes,338,1824,1187,14.2,vid_birds_per_km2,1187,0.12734169926294547,0.12455006284304307,-0.002791636419902425,0.22549184217032256,0.6619735852655521
lp,frave,Avesnes,338,1824,1187,14.2,bird_u_ms,1187,0.8895882740830318,3.2131825193692767,2.323594245286245,3.667326116359791,4.515822044123039
lp,frave,Avesnes,338,1824,1187,14.2,bird_v_ms,1187,0.8060591943272455,1.023924770973206,0.21786557664596037,2.8730623405669955,3.666317471044531
lp,frcae,Falaise,353,2965,2122,10.9,mtr_birds_km_h,2122,5.451292545193171,5.360129764143129,-0.09116278105004263,8.828978570663587,29.61849708747786
lp,frcae,Falaise,353,2965,2122,10.9,vid_birds_per_km2,2122,0.11546552808275912,0.0687052741144804,-0.04676025396827874,0.14907521604702945,0.46143467218521733
lp,frcae,Falaise,353,2965,2122,10.9,bird_u_ms,2122,0.6103777312820401,2.4949299827315174,1.8845522514494777,3.5680758895838345,4.317725303740032
lp,frcae,Falaise,353,2965,2122,10.9,bird_v_ms,2122,0.8611296153441872,1.0408015201806047,0.17967190483641757,3.1114796431298224,4.043702846224702
lp,frpla,Plabennec,349,3129,2237,6.7,mtr_birds_km_h,2237,3.433433677802285,1.1667761071592835,-2.266657570643001,4.174418693366806,24.336049620213355
lp,frpla,Plabennec,349,3129,2237,6.7,vid_birds_per_km2,2237,0.07874790983242107,0.08082378404476226,0.0020758742123411955,0.13367231067765845,0.4193212592310056
lp,frpla,Plabennec,349,3129,2237,6.7,bird_u_ms,2237,0.08218272430491065,2.1548358260064404,2.0726531017015297,3.642807374111214,4.350963267004751
lp,frpla,Plabennec,349,3129,2237,6.7,bird_v_ms,2237,0.5097616871304961,0.9509508631625391,0.441189176032043,3.1540158948991923,3.86540537242268
lp,frtre,Treillieres,356,3331,2565,12.0,mtr_birds_km_h,2565,2.4981174303806433,2.5228856243669004,0.0247681939862572,4.5015394347064,13.532165711309585
lp,frtre,Treillieres,356,3331,2565,12.0,vid_birds_per_km2,2565,0.06072333910626549,0.25392075297271643,0.19319741386645095,0.2752677698792799,0.3972049891412452
lp,frtre,Treillieres,356,3331,2565,12.0,bird_u_ms,2565,0.08682591779862678,1.9079344570757104,1.8211085392770836,3.543669296836747,4.280937070906216
lp,frtre,Treillieres,356,3331,2565,12.0,bird_v_ms,2565,0.5056440995160361,0.9545438316672177,0.44889973215118156,2.846811544105436,3.4651106102375775
lp,iesha,Shannon,214,2645,2032,13.1,mtr_birds_km_h,2032,14.290045490672759,0.10721357286863027,-14.182831917804128,14.308876483492417,38.04277450962585
